,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
297,2022-07-12 01:50:50,1542.2766,,21.02,1.0250,1.353437E-7
298,2022-07-12 01:52:19,1542.2464,,32.95,1.7360,1.353411E-7
299,2022-07-12 01:53:48,1542.1851,,32.84,1.7290,1.353357E-7
300,2022-07-12 01:55:17,1542.1536,,32.45,1.7035,1.353329E-7
301,2022-07-12 01:56:46,1542.1248,,32.24,1.6905,1.353304E-7
302,2022-07-12 01:58:15,1542.0652,,32.86,1.7305,1.353252E-7
303,2022-07-12 01:59:44,1542.035,,25.66,1.2880,1.353225E-7
304,2022-07-12 02:01:12,1542.0054,,31.55,1.6460,1.353199E-7
305,2022-07-12 02:02:41,1541.9668,,32.90,1.7325,1.353165E-7
306,2022-07-12 02:04:11,1541.9168,,32.90,1.7325,1.353121E-7
307,2022-07-12 02:05:39,1541.8912,,32.90,1.7325,1.353099E-7
308,2022-07-12 02:07:08,1541.8625,,32.94,1.7355,1.353074E-7
309,2022-07-12 02:08:37,1541.8028,,32.87,1.7310,1.353021E-7
310,2022-07-12 02:10:06,1541.775,,32.90,1.7330,1.352997E-7
311,2022-07-12 02:11:35,1541.7492,,20.46,0.9940,1.352974E-7
312,2022-07-12 02:13:04,1541.6985,,32.68,1.7185,1.352930E-7
313,2022-07-12 02:14:33,1541.6658,,30.56,1.5840,1.352901E-7
314,2022-07-12 02:16:02,1541.6371,,32.76,1.7235,1.352876E-7
315,2022-07-12 02:17:31,1541.6082,,32.24,1.6900,1.352851E-7
316,2022-07-12 02:19:00,1541.5558,,32.79,1.7255,1.352805E-7
317,2022-07-12 02:20:29,1541.5327,,28.96,1.4850,1.352784E-7
318,2022-07-12 02:21:58,1541.5038,,32.84,1.7290,1.352759E-7
319,2022-07-12 02:23:27,1541.4795,,32.76,1.7240,1.352738E-7
320,2022-07-12 02:24:56,1541.4233,,30.02,1.5505,1.352688E-7
321,2022-07-12 02:26:25,1541.4002,,20.75,1.0100,1.352668E-7
322,2022-07-12 02:27:54,1541.3763,,32.71,1.7205,1.352647E-7
323,2022-07-12 02:29:23,1541.3516,,32.76,1.7240,1.352625E-7
324,2022-07-12 02:30:51,1541.2952,,32.77,1.7245,1.352576E-7
325,2022-07-12 02:32:20,1541.2741,,32.66,1.7170,1.352557E-7
326,2022-07-12 02:33:49,1541.249,,32.74,1.7225,1.352535E-7
327,2022-07-12 02:35:19,1541.224,,25.31,1.2675,1.352513E-7
