,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
309,2022/7/12 2:08,1541.8194,1.343,26.5993,0.000135304,-4.39E-05
310,2022/7/12 2:10,1541.7734,1.729,32.8417,0.0001353,-5.43E-05
311,2022/7/12 2:11,1541.7368,1.697,32.345,0.000135296,-4.32E-05
312,2022/7/12 2:13,1541.7036,1.716,32.6403,0.000135293,-3.92E-05
313,2022/7/12 2:14,1541.6745,1.7145,32.6171,0.000135291,-3.44E-05
314,2022/7/12 2:16,1541.6447,1.714,32.6093,0.000135288,-3.52E-05
315,2022/7/12 2:17,1541.6037,1.711,32.5627,0.000135285,-4.84E-05
316,2022/7/12 2:19,1541.5708,1.6985,32.3683,0.000135282,-3.88E-05
317,2022/7/12 2:20,1541.5473,1.7095,32.5394,0.00013528,-2.77E-05
318,2022/7/12 2:21,1541.5025,1.602,30.8488,0.000135276,-5.29E-05
319,2022/7/12 2:23,1541.4632,1.696,32.3294,0.000135272,-4.64E-05
320,2022/7/12 2:24,1541.4332,1.1545,23.3433,0.00013527,-3.54E-05
321,2022/7/12 2:26,1541.4043,1.7235,32.7565,0.000135267,-3.41E-05
322,2022/7/12 2:27,1541.3709,0.9155,19.0065,0.000135264,-3.94E-05
323,2022/7/12 2:29,1541.3334,1.6955,32.3216,0.000135261,-4.43E-05
324,2022/7/12 2:30,1541.308,1.698,32.3606,0.000135259,-3.00E-05
325,2022/7/12 2:32,1541.2792,1.7125,32.586,0.000135256,-3.40E-05
326,2022/7/12 2:33,1541.2369,1.7135,32.6015,0.000135252,-5.00E-05
327,2022/7/12 2:35,1541.2145,0.8375,17.5387,0.000135251,-2.65E-05
328,2022/7/12 2:36,1541.186,1.7095,32.5394,0.000135248,-3.37E-05
329,2022/7/12 2:38,1541.1468,1.68,32.0796,0.000135245,-4.63E-05
330,2022/7/12 2:39,1541.1278,1.685,32.1578,0.000135243,-2.24E-05
