,ctwl/nm,peak/dB
897,1541.628,43.038
898,1541.62,43.032
899,1541.608,43.034
900,1541.6,43.034
901,1541.588,43.033
902,1541.58,43.03
903,1541.568,43.03
904,1541.56,43.034
905,1541.548,43.031
906,1541.536,43.035
907,1541.528,43.038
908,1541.52,43.035
909,1541.508,43.039
910,1541.5,43.034
911,1541.48,43.038
912,1541.472,43.037
913,1541.46,43.028
914,1541.456,43.029
915,1541.444,43.025
916,1541.436,43.033
917,1541.428,43.034
918,1541.416,43.04
919,1541.408,43.029
920,1541.4,43.031
921,1541.388,43.028
922,1541.38,43.022
923,1541.372,43.022
924,1541.364,43.019
925,1541.352,43.023
926,1541.348,43.033
927,1541.336,43.032
928,1541.328,43.027
929,1541.32,43.028
930,1541.312,43.027
931,1541.3,43.031
932,1541.296,43.032
933,1541.284,43.031
934,1541.276,43.028
935,1541.268,43.032
936,1541.264,43.028
937,1541.252,43.029
938,1541.244,43.03
939,1541.236,43.034
940,1541.228,43.024
941,1541.22,43.026
942,1541.212,43.025
943,1541.204,43.024
944,1541.196,43.026
945,1541.188,43.028
946,1541.18,43.025
947,1541.176,43.028
948,1541.164,43.032
949,1541.16,43.031
950,1541.152,43.03
951,1541.144,43.03
952,1541.136,43.032
953,1541.124,43.038
954,1541.12,43.027
955,1541.112,43.031
956,1541.104,43.028
957,1541.096,43.03
958,1541.088,43.037
959,1541.084,43.025
960,1541.076,43.027
961,1541.068,43.027
962,1541.06,43.037
963,1541.052,43.03
964,1541.044,43.033
965,1541.036,43.03
966,1541.032,43.033
967,1541.024,43.031
968,1541.016,43.032
969,1541.008,43.038
970,1541.004,43.033
971,1540.996,43.031
972,1540.988,43.032
973,1540.98,43.039
974,1540.976,43.033
975,1540.968,43.029
976,1540.96,43.038
977,1540.952,43.042
978,1540.948,43.038
979,1540.94,43.038
980,1540.936,43.037
981,1540.928,43.037
982,1540.92,43.041
983,1540.916,43.042
984,1540.904,43.047
985,1540.9,43.04
986,1540.892,43.044
987,1540.888,43.042
988,1540.88,43.042
989,1540.872,43.044
990,1540.868,43.049
991,1540.86,43.05
992,1540.856,43.045
993,1540.848,43.048
994,1540.84,43.051
995,1540.836,43.049
996,1540.828,43.046
997,1541.492,43.034
