,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
1176,1176,2022-07-12 23:42:38,1536.324,1.7260000000000026,32.7952,0.0001348213333809,2.7246856784055237e-06
1177,1177,2022-07-12 23:44:08,1536.3232,1.5584999999999989,30.1526,0.0001348212631763,-9.477172511931956e-07
1178,1178,2022-07-12 23:45:38,1536.322,1.711500000000001,32.5705,0.0001348211578693,-1.4215769872978523e-06
1179,1179,2022-07-12 23:47:08,1536.3217,1.7290000000000028,32.8417,0.0001348211315426,-3.5539431608818825e-07
1180,1180,2022-07-12 23:48:37,1536.3231,1.7175000000000011,32.6636,0.0001348212544007,1.6585052976083218e-06
1181,1181,2022-07-12 23:50:07,1536.3171,1.695999999999998,32.3294,0.000134820727866,-7.10790760589438e-06
1182,1182,2022-07-12 23:51:37,1536.3194,0.930500000000002,19.2858,0.0001348209297043,2.7246938365750558e-06
1183,1183,2022-07-12 23:53:07,1536.3208,1.7089999999999996,32.5317,0.0001348210525624,1.6585077802593182e-06
1184,1184,2022-07-12 23:54:36,1536.3167,1.7119999999999995,32.5783,0.0001348206927636,-4.85707146175145e-06
1185,1185,2022-07-12 23:56:07,1536.3167,1.7215000000000025,32.7256,0.0001348206927636,0.0
1186,1186,2022-07-12 23:57:37,1536.3157,1.6950000000000005,32.3138,0.0001348206050078,-1.1846523471425583e-06
1187,1187,2022-07-12 23:59:06,1536.315,1.7100000000000009,32.5472,0.0001348205435788,-8.292570209195508e-07
1188,1188,2022-07-13 00:00:36,1536.3206,1.7315000000000005,32.8803,0.0001348210350112,6.634031985201863e-06
1189,1189,2022-07-13 00:02:06,1536.3143,1.6965000000000003,32.3372,0.0001348204821497,-7.463316588290909e-06
1190,1190,2022-07-13 00:03:36,1536.313,1.7270000000000003,32.8107,0.0001348203680672,-1.5400507577687003e-06
1191,1191,2022-07-13 00:05:12,1536.3139,1.7035000000000018,32.4462,0.0001348204470474,1.0661883616379753e-06
1192,1192,2022-07-13 00:06:41,1536.3132,1.7184999999999988,32.6791,0.0001348203856184,-8.292579925070095e-07
1193,1193,2022-07-13 00:08:11,1536.3136,1.714500000000001,32.6171,0.0001348204207207,4.7386158647378827e-07
1194,1194,2022-07-13 00:09:41,1536.3131,1.7200000000000024,32.7023,0.0001348203768428,-5.923271758677129e-07
1195,1195,2022-07-13 00:11:11,1536.3132,1.7295000000000016,32.8494,0.0001348203856184,1.1846542746252146e-07
1196,1196,2022-07-13 00:12:40,1536.3115,1.7059999999999995,32.485,0.0001348202364335,-2.0139144958890056e-06
1197,1197,2022-07-13 00:14:10,1536.3106,1.7185000000000024,32.6791,0.0001348201574533,-1.066190651813929e-06
1198,1198,2022-07-13 00:15:40,1536.3112,1.712500000000002,32.586,0.0001348202101068,7.107934903681661e-07
1199,1199,2022-07-13 00:17:10,1536.311,1.7165,32.6481,0.0001348201925556,-2.3693119447979518e-07
1200,1200,2022-07-13 00:18:40,1536.3109,0.9639999999999986,19.906,0.00013482018378,-1.1846560481626098e-07
